Stimuli
"s,2000,2,0,0,0.05,0"
"s,2000,2,0,0,0.1,0"
"s,2000,2,0,0,0.2,0"
"s,2000,2,0,0,0.4,0"
"s,2000,10,0,0,0.05,0"
"s,2000,10,0,0,0.1,0"
"s,2000,10,0,0,0.2,0"
"s,2000,10,0,0,0.4,0"
"s,2000,40,0,0,0.05,0"
"s,2000,40,0,0,0.1,0"
"s,2000,40,0,0,0.2,0"
"s,2000,40,0,0,0.4,0"
"s,2000,2,0,0,0,0.05"
"s,2000,2,0,0,0,0.1"
"s,2000,2,0,0,0,0.2"
"s,2000,2,0,0,0,0.4"
"s,2000,10,0,0,0,0.05"
"s,2000,10,0,0,0,0.1"
"s,2000,10,0,0,0,0.2"
"s,2000,10,0,0,0,0.4"
"s,2000,40,0,0,0,0.05"
"s,2000,40,0,0,0,0.1"
"s,2000,40,0,0,0,0.2"
"s,2000,40,0,0,0,0.4"
