S130VC	2025-02-18 15:49:41
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
6.114849E-04	183
6.137973E-04	483
6.133764E-04	783
6.132323E-04	1083
6.135335E-04	1383
6.129162E-04	1683
6.133469E-04	1983
6.128899E-04	2283
6.131897E-04	2583
6.124923E-04	2883
6.132377E-04	3183
6.125761E-04	3483
6.128034E-04	3783
6.129019E-04	4083
6.115063E-04	4383
6.136036E-04	4683
6.115591E-04	4983
6.121425E-04	5283
6.133004E-04	5583
6.113382E-04	5883
6.133687E-04	6183
6.117491E-04	6483
6.113440E-04	6783
6.120378E-04	7085
6.121324E-04	7385
6.119828E-04	7685
6.119544E-04	7985
6.117898E-04	8285
6.119497E-04	8585
6.117871E-04	8885
6.115114E-04	9185
6.121293E-04	9485
6.113219E-04	9785
6.120019E-04	10085
6.113310E-04	10385
6.116460E-04	10685
6.115913E-04	10985
6.113250E-04	11285
6.114960E-04	11585
6.113382E-04	11885
2.464695E-04	12185
2.736801E-10	13906
1.545700E-05	14715
1.501173E-05	15015
1.528833E-05	15315
1.530152E-05	15615
1.516794E-05	15915
3.590386E-05	16215
4.580685E-05	16515
4.409507E-05	16817
4.486661E-05	17117
4.548241E-05	17417
4.608286E-05	17717
4.515495E-05	18017
8.175409E-05	18317
8.179677E-05	18617
8.021988E-05	18917
8.151392E-05	19217
8.041124E-05	19517
8.147059E-05	19817
9.613421E-05	20117
1.184216E-04	20417
1.199303E-04	20717
1.201450E-04	21017
1.179634E-04	21317
1.201023E-04	21617
1.181138E-04	21917
1.461157E-04	22217
1.571526E-04	22517
1.558826E-04	22817
1.582624E-04	23117
1.569103E-04	23417
1.558182E-04	23717
1.577921E-04	24017
1.973840E-04	24319
1.971864E-04	24619
1.971522E-04	24919
1.957189E-04	25219
1.967519E-04	25519
1.981618E-04	25819
2.098332E-04	26119
2.358812E-04	26419
2.369306E-04	26719
2.377926E-04	27019
2.370444E-04	27319
2.358943E-04	27619
2.379594E-04	27919
2.660500E-04	28219
2.766988E-04	28519
2.763376E-04	28819
2.770619E-04	29119
2.785729E-04	29419
2.769531E-04	29719
2.780521E-04	30019
3.179223E-04	30319
3.181752E-04	30619
3.168573E-04	30919
3.170171E-04	31219
3.171531E-04	31519
3.193155E-04	31819
3.331446E-04	32124
3.543457E-04	32424
3.562924E-04	32724
3.564307E-04	33024
3.564011E-04	33324
3.590827E-04	33639
3.555647E-04	33941
3.874748E-04	34241
3.974592E-04	34541
3.974115E-04	34841
3.964829E-04	35141
3.955262E-04	35441
3.973577E-04	35741
4.022105E-04	36041
4.364056E-04	36341
4.365377E-04	36641
4.387029E-04	36941
4.382108E-04	37241
4.370973E-04	37541
4.361944E-04	37841
4.559903E-04	38141
4.797882E-04	38441
4.770666E-04	38741
4.774772E-04	39041
4.796073E-04	39341
4.793620E-04	39641
4.786690E-04	39944
5.084539E-04	40244
5.185643E-04	40544
5.224022E-04	40844
5.183426E-04	41144
5.184818E-04	41444
5.209772E-04	41744
5.237754E-04	42044
5.589365E-04	42344
5.583919E-04	42644
5.585896E-04	42944
5.614336E-04	43244
5.575826E-04	43544
5.582196E-04	43844
5.777441E-04	44144
5.995178E-04	44444
6.007755E-04	44744
6.001510E-04	45044
6.004111E-04	45344
6.030017E-04	45644
5.989865E-04	45944
6.069979E-04	46244
6.122468E-04	46544
6.085938E-04	46844
6.102414E-04	47144
6.091452E-04	47446
6.094693E-04	47746
6.118387E-04	48046
6.098309E-04	48346
6.082110E-04	48646
6.114934E-04	48946
6.096880E-04	49246
6.099045E-04	49546
6.095828E-04	49846
6.098480E-04	50146
6.125207E-04	50446
6.093101E-04	50746
6.090344E-04	51046
6.118912E-04	51346
6.096496E-04	51646
6.102839E-04	51946
6.110093E-04	52246
6.095607E-04	52546
6.127175E-04	52846
6.092342E-04	53146
6.094170E-04	53446
6.122247E-04	53746
6.098130E-04	54046
6.114479E-04	54346
6.108337E-04	54646
6.098137E-04	54946
6.113541E-04	55248
6.106941E-04	55548
6.097283E-04	55848
6.121894E-04	56148
6.106456E-04	56448
6.117296E-04	56748
6.101083E-04	57048
6.105893E-04	57348
6.115665E-04	57648
6.105984E-04	57948
6.101504E-04	58248
6.116450E-04	58548
6.107393E-04	58848
6.115658E-04	59148
6.105021E-04	59448
6.103028E-04	59748
6.119398E-04	60048
6.104924E-04	60348
6.108941E-04	60648
6.112616E-04	60948
6.110118E-04	61248
6.111009E-04	61548
6.108811E-04	61848
6.104843E-04	62148
6.111274E-04	62448
6.109263E-04	62751
6.109201E-04	63051
6.122101E-04	63351
6.098584E-04	63651
6.120213E-04	63951
6.112668E-04	64251
6.083524E-04	64563
6.121598E-04	64863
6.097695E-04	65163
6.121658E-04	65463
6.109562E-04	65763
6.098864E-04	66063
6.117516E-04	66363
6.099546E-04	66663
6.111916E-04	66963
6.116282E-04	67263
6.101099E-04	67563
6.115204E-04	67863
6.114378E-04	68163
6.103241E-04	68463
6.111878E-04	68763
6.101730E-04	69063
6.111099E-04	69363
6.114825E-04	69663
6.100514E-04	69963
6.114821E-04	70263
6.106697E-04	70565
6.104388E-04	70865
6.107129E-04	71165
6.103646E-04	71465
6.109469E-04	71765
6.111718E-04	72065
6.103518E-04	72365
6.105104E-04	72665
6.114194E-04	72965
6.102159E-04	73265
6.105714E-04	73565
6.103071E-04	73865
6.111313E-04	74165
6.102756E-04	74465
6.102726E-04	74765
6.101256E-04	75065
6.114236E-04	75365
6.098110E-04	75665
6.105953E-04	75965
6.097904E-04	76265
6.105553E-04	76565
6.104737E-04	76865
6.097461E-04	77165
6.101782E-04	77465
6.114720E-04	77765
6.098970E-04	78065
6.106494E-04	78368
6.097796E-04	78668
6.107946E-04	78968
6.100601E-04	79268
6.096832E-04	79568
6.098857E-04	79868
6.103613E-04	80168
6.099371E-04	80468
6.096438E-04	80768
6.098321E-04	81068
6.103700E-04	81368
6.099822E-04	81668
6.093616E-04	81968
6.097434E-04	82268
6.107180E-04	82568
6.092173E-04	82868
6.098609E-04	83168
6.097461E-04	83468
6.100197E-04	83768
6.099609E-04	84068
6.088250E-04	84368
6.095350E-04	84668
6.106523E-04	84968
6.086579E-04	85268
6.097881E-04	85568
6.086162E-04	85870
