S130VC	2025-02-18 15:16:52
value unit [W]	time unit [ms]
wavelength	524.000nm
range	AUTO
5.411842E-06	206
5.477960E-06	506
5.481342E-06	806
5.465203E-06	1106
5.486151E-06	1406
5.468634E-06	1706
5.474814E-06	2006
5.481746E-06	2306
5.469232E-06	2606
5.485252E-06	2906
5.472403E-06	3206
5.478231E-06	3506
5.476808E-06	3806
5.469203E-06	4106
5.477447E-06	4406
5.478440E-06	4706
5.473073E-06	5006
5.477664E-06	5306
5.477402E-06	5606
5.466215E-06	5906
5.481394E-06	6206
5.469973E-06	6506
5.480207E-06	6806
5.484469E-06	7106
5.467838E-06	7406
5.480838E-06	7706
5.469129E-06	8006
5.474872E-06	8306
5.477134E-06	8606
5.467406E-06	8906
5.487861E-06	9206
5.464168E-06	9506
5.481878E-06	9806
5.479274E-06	10106
4.501636E-06	10406
1.154989E-10	11846
1.146362E-10	12146
3.174168E-07	12755
3.179979E-07	13055
3.171609E-07	13355
3.174117E-07	13655
3.172674E-07	13955
3.171764E-07	14255
5.792784E-07	14555
7.074255E-07	14855
7.080278E-07	15155
7.092036E-07	15455
7.076002E-07	15755
7.082036E-07	16055
7.086705E-07	16355
1.099652E-06	16858
1.105764E-06	17158
1.103551E-06	17458
1.102877E-06	17758
1.116209E-06	18058
1.100299E-06	18358
1.513609E-06	18658
1.510327E-06	18958
1.487194E-06	19258
1.513487E-06	19558
1.487295E-06	19858
1.512102E-06	20158
1.642762E-06	20458
1.860153E-06	20758
1.892091E-06	21058
1.892484E-06	21358
1.860965E-06	21658
1.899080E-06	21958
1.857085E-06	22258
2.165351E-06	22558
2.280307E-06	22858
2.270392E-06	23158
2.291007E-06	23458
2.286106E-06	23758
2.272110E-06	24060
2.285070E-06	24360
2.671274E-06	24660
2.699100E-06	24960
2.674907E-06	25260
2.677004E-06	25560
2.670597E-06	25860
2.702597E-06	26160
2.809376E-06	26460
3.078468E-06	26760
3.070011E-06	27060
3.106805E-06	27360
3.069713E-06	27660
3.079309E-06	27960
3.079248E-06	28260
3.359816E-06	28560
3.481471E-06	28860
3.470783E-06	29160
3.483442E-06	29460
3.506876E-06	29760
3.464773E-06	30060
3.494019E-06	30360
3.864833E-06	30660
3.871894E-06	30960
3.871937E-06	31260
3.839582E-06	31560
3.890353E-06	31864
3.838503E-06	32164
4.052912E-06	32464
4.246449E-06	32764
4.237725E-06	33064
4.341293E-06	33379
4.243013E-06	33682
4.259491E-06	33982
4.255062E-06	34282
4.349078E-06	34582
4.363930E-06	34882
4.386931E-06	35182
4.397176E-06	35482
4.349881E-06	35782
4.379087E-06	36082
4.394723E-06	36382
4.499893E-06	36682
4.477494E-06	36982
4.485842E-06	37282
