Stimuli
"se,1000,74,200,8,1,1"
"se,1000,76,200,8,1,1"
"se,1000,78,200,8,1,1"
"se,1000,80,200,8,1,1"
"se,1000,82,200,8,1,1"
"se,1000,84,200,8,1,1"
"se,1000,86,200,8,1,1"
"se,1000,88,200,8,1,1"
"se,1000,90,200,8,1,1"
"se,1000,200,74,8,1,1"
"se,1000,200,76,8,1,1"
"se,1000,200,78,8,1,1"
"se,1000,200,80,8,1,1"
"se,1000,200,82,8,1,1"
"se,1000,200,84,8,1,1"
"se,1000,200,86,8,1,1"
"se,1000,200,88,8,1,1"
"se,1000,200,90,8,1,1"
"se,1000,200,200,8,1,1"
"se,1000,200,200,8,1,1"
"se,1000,200,200,8,1,1"
"se,1000,200,200,8,1,1"
