S121C	2025-05-22 17:33:49
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
2.359954E-07	258
2.309607E-07	558
2.308171E-07	858
2.304299E-07	1158
2.310134E-07	1458
2.320119E-07	1758
2.320808E-07	2058
2.322889E-07	2358
2.321825E-07	2658
2.320724E-07	2958
2.324145E-07	3258
2.322447E-07	3558
2.319561E-07	3858
2.318123E-07	4158
2.319515E-07	4458
2.321560E-07	4758
2.320054E-07	5058
2.323095E-07	5358
2.336182E-07	5658
2.324842E-07	5958
2.328957E-07	6258
2.329410E-07	6558
2.332448E-07	6858
2.304876E-07	7159
2.332415E-07	7459
2.333122E-07	7759
2.332835E-07	8059
2.331553E-07	8359
2.329051E-07	8659
2.330743E-07	8959
2.331257E-07	9259
2.321940E-07	9559
2.318606E-07	9859
2.319672E-07	10159
2.314377E-07	10459
2.316603E-07	10759
2.316896E-07	11059
2.318914E-07	11359
2.317585E-07	11659
2.318081E-07	11959
2.317976E-07	12259
2.314864E-07	12559
2.313731E-07	12859
2.314839E-07	13159
2.314124E-07	13459
2.306196E-07	13759
2.303365E-07	14059
2.301908E-07	14359
2.307750E-07	14659
2.330958E-07	14961
2.307142E-07	15261
2.302985E-07	15561
2.299134E-07	15861
2.300995E-07	16161
2.301120E-07	16461
2.300580E-07	16761
2.303914E-07	17061
2.299572E-07	17361
2.299318E-07	17661
2.306695E-07	17961
2.310670E-07	18261
2.308281E-07	18561
2.311981E-07	18861
2.310063E-07	19161
2.310348E-07	19461
2.309716E-07	19761
2.310733E-07	20061
2.308899E-07	20361
2.310950E-07	20661
2.306574E-07	20961
2.305112E-07	21261
2.312560E-07	21561
2.311669E-07	21861
2.311520E-07	22161
2.314496E-07	22461
2.297135E-07	22762
2.310792E-07	23062
2.312310E-07	23362
2.315179E-07	23662
2.320217E-07	23962
2.318912E-07	24262
2.314928E-07	24562
2.321445E-07	24862
2.319488E-07	25162
2.324164E-07	25462
2.322368E-07	25762
2.323236E-07	26062
2.324257E-07	26362
2.321557E-07	26662
2.312860E-07	26962
2.310585E-07	27262
2.304855E-07	27562
2.309670E-07	27862
2.305105E-07	28162
2.310244E-07	28462
2.309103E-07	28762
2.307006E-07	29062
2.307562E-07	29362
2.316110E-07	29662
2.311343E-07	29962
2.337273E-07	30264
2.310589E-07	30564
8.908391E-08	30864
-3.977126E-10	31164
-3.067942E-10	31464
-8.826492E-09	31770
-1.766176E-09	32071
7.906744E-11	32372
-2.107656E-10	32671
-3.374047E-11	32971
2.051695E-10	33272
1.716820E-10	33572
3.805065E-10	33872
3.682028E-10	34172
5.906915E-10	34472
4.984212E-10	34772
1.258796E-10	35072
-7.158980E-10	35371
-7.917766E-10	35671
-9.339580E-10	35971
-5.976549E-10	36271
-5.904763E-10	36571
-9.059226E-10	36871
-8.977231E-10	37171
-6.113198E-10	37471
-6.786573E-10	37772
-8.591040E-10	38072
-8.157056E-10	38372
-8.382510E-10	38672
-9.048977E-10	38972
-1.004699E-09	39272
-6.820542E-10	39572
-1.112692E-09	39872
-1.638003E-09	40172
-1.669443E-09	40472
-2.021816E-09	40772
-2.105889E-09	41072
-2.078883E-09	41372
-2.420997E-09	41672
-2.249772E-09	41972
-2.557702E-09	42272
-2.449701E-09	42572
-2.248416E-09	42872
-2.568641E-09	43172
-1.784613E-09	43472
-1.190620E-09	43772
-1.235054E-09	44072
-1.128075E-09	44372
-1.204975E-09	44672
-3.162310E-09	44973
-1.253511E-09	45273
-1.245305E-09	45573
-1.134917E-09	45873
-1.060407E-09	46173
-1.189599E-09	46473
-1.578541E-09	46773
-1.271617E-09	47073
-1.033408E-09	47373
-1.042623E-09	47673
-1.104151E-09	47973
-1.051181E-09	48273
-1.011874E-09	48573
-7.179463E-10	48873
-1.571011E-10	49173
-3.925835E-10	49473
1.173015E-11	49773
1.217961E-10	50074
3.302634E-10	50374
2.372952E-10	50673
3.972424E-10	50974
9.957341E-11	51274
4.960234E-10	51574
3.097560E-10	51873
-5.351032E-10	52173
9.044360E-10	52475
-1.899202E-10	52774
-7.042803E-10	53074
-9.561706E-10	53374
-1.072722E-09	53674
-7.039460E-10	53974
-3.064531E-10	54274
-8.495352E-10	54574
-9.045618E-10	54874
-7.182819E-10	55174
-6.191700E-10	55474
-9.588998E-10	55774
-7.869754E-10	56074
-1.115768E-09	56374
-6.496036E-10	56674
-1.661579E-09	56974
-1.648937E-09	57274
-2.104168E-09	57574
-2.020079E-09	57874
-2.137337E-09	58174
-2.224135E-09	58474
-2.363589E-09	58774
-2.383408E-09	59074
-2.808566E-09	59374
-2.615464E-09	59674
-2.203633E-09	59975
-2.523532E-09	60275
-2.276095E-09	60575
-1.273333E-09	60875
-8.293672E-10	61175
1.332681E-08	61482
-4.151437E-10	61783
-3.840414E-10	62083
-4.407693E-10	62383
-3.918943E-10	62683
-9.301887E-10	62983
-1.376537E-09	63283
-1.782905E-09	63583
-1.884758E-09	63883
-2.162627E-09	64183
-2.014297E-09	64483
-1.971223E-09	64783
-1.905611E-09	65083
-2.506442E-09	65383
-2.449702E-09	65683
-1.388846E-09	65983
-8.608019E-10	66283
-9.971717E-10	66583
-7.145455E-10	66883
-2.076502E-09	67184
-9.459142E-10	67484
-9.951255E-10	67784
-1.036484E-09	68084
-9.014834E-10	68384
-1.045365E-09	68684
-7.261566E-10	68984
-7.025603E-10	69284
-7.220575E-10	69584
-2.524652E-10	69884
3.247879E-10	70184
5.961422E-10	70484
1.149151E-09	70784
1.840546E-09	71084
1.920184E-09	71384
1.983759E-09	71684
1.817647E-09	71984
1.560641E-09	72284
8.483766E-10	72584
3.394965E-10	72884
5.274638E-10	73184
4.864468E-10	73484
4.929523E-10	73784
2.496053E-10	74084
8.487097E-10	74384
3.661583E-10	74685
6.419612E-10	74986
5.677908E-10	75286
9.656184E-10	75585
1.915107E-10	75885
-6.960636E-10	76185
-1.766853E-09	76485
-1.609995E-09	76785
-1.681407E-09	77085
-1.778816E-09	77385
-2.383065E-09	77685
-2.024551E-09	77985
-1.360826E-09	78285
-2.654526E-10	78585
-3.747876E-11	78885
6.780045E-11	79186
-1.031084E-10	79485
