S121C	2025-05-23 11:03:53
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
2.105605E-06	269
2.107372E-06	569
2.107875E-06	869
2.109037E-06	1169
2.109570E-06	1469
2.109345E-06	1769
2.109247E-06	2069
2.109581E-06	2369
2.110337E-06	2669
2.109336E-06	2969
2.110048E-06	3269
2.110524E-06	3569
2.111086E-06	3869
2.111977E-06	4169
2.111817E-06	4469
2.112946E-06	4769
2.113057E-06	5069
2.116049E-06	5369
2.113820E-06	5669
2.114600E-06	5969
2.114070E-06	6269
2.114512E-06	6569
2.114640E-06	6869
2.114242E-06	7171
2.114531E-06	7471
2.116247E-06	7771
2.116680E-06	8071
2.117645E-06	8371
2.117540E-06	8671
2.117814E-06	8971
2.118164E-06	9271
2.117850E-06	9571
2.118150E-06	9871
2.118501E-06	10171
2.119746E-06	10471
2.120838E-06	10771
2.121829E-06	11071
2.119621E-06	11371
2.119098E-06	11671
2.119147E-06	11971
2.119947E-06	12271
2.120031E-06	12571
2.120797E-06	12871
2.121213E-06	13171
2.121304E-06	13471
2.121434E-06	13771
2.120883E-06	14071
2.121287E-06	14371
2.120580E-06	14671
2.122779E-06	14972
2.125199E-06	15272
2.122371E-06	15572
2.122781E-06	15872
2.123413E-06	16172
2.124498E-06	16472
2.125632E-06	16772
2.125013E-06	17072
2.125918E-06	17372
2.125488E-06	17672
2.125812E-06	17972
2.126846E-06	18272
2.126800E-06	18572
1.074341E-06	18872
8.259016E-09	19172
5.370371E-09	19472
4.013193E-09	19772
3.402446E-09	20072
2.972842E-09	20372
2.404814E-09	20672
2.091419E-09	20972
1.933854E-09	21272
1.873703E-09	21572
1.530224E-09	21872
1.691880E-09	22172
1.481011E-09	22472
8.887175E-10	22773
1.069859E-09	23073
9.669865E-10	23373
1.012780E-09	23673
9.211861E-10	23973
1.044219E-09	24273
1.230831E-09	24573
8.600113E-10	24873
5.636942E-10	25173
3.842605E-10	25473
9.475025E-10	25773
5.879582E-10	26073
8.818831E-10	26373
5.739465E-10	26673
5.961605E-10	26973
5.746314E-10	27273
8.582970E-10	27573
6.792110E-10	27873
5.565161E-10	28173
5.548075E-10	28473
2.833399E-09	28773
1.784981E-08	29073
1.808701E-08	29373
1.836760E-08	29673
1.846571E-08	29973
1.786965E-08	30275
1.840041E-08	30575
1.849815E-08	30875
1.867554E-08	31175
1.851048E-08	31475
1.657978E-08	31781
1.837172E-08	32083
1.832796E-08	32383
1.839701E-08	32683
1.851901E-08	32983
1.854877E-08	33283
1.805353E-08	33583
1.851355E-08	33883
1.842161E-08	34183
1.824697E-08	34483
1.851593E-08	34783
1.819056E-08	35083
1.834950E-08	35383
1.835703E-08	35683
1.830096E-08	35983
1.822509E-08	36283
1.861743E-08	36583
1.869739E-08	36883
1.861164E-08	37183
1.836657E-08	37483
1.834847E-08	37783
1.780608E-08	38084
1.806856E-08	38384
1.856756E-08	38684
5.044872E-08	38984
5.568770E-08	39284
5.602712E-08	39584
5.586613E-08	39884
5.581964E-08	40184
5.595053E-08	40484
5.583026E-08	40784
5.540916E-08	41084
5.567852E-08	41384
5.574068E-08	41684
5.563474E-08	41984
5.578681E-08	42284
5.574786E-08	42584
5.538798E-08	42884
5.548608E-08	43184
5.552813E-08	43484
5.539445E-08	43784
5.595881E-08	44084
5.538563E-08	44384
5.528987E-08	44684
5.547721E-08	44984
5.555682E-08	45284
5.530667E-08	45585
5.568736E-08	45885
5.530905E-08	46185
5.534937E-08	46485
5.546216E-08	46785
5.539139E-08	47085
5.558862E-08	47385
5.527690E-08	47685
5.539412E-08	47985
5.524684E-08	48285
5.512173E-08	48585
7.579346E-08	48885
9.519586E-08	49185
9.514841E-08	49485
9.496686E-08	49785
9.505911E-08	50085
9.495594E-08	50385
9.534447E-08	50685
9.490706E-08	50985
9.476383E-08	51285
9.482680E-08	51585
9.496892E-08	51885
9.510487E-08	52185
9.546208E-08	52485
9.475158E-08	52785
9.517943E-08	53085
9.486642E-08	53387
9.522422E-08	53687
9.626390E-08	53987
9.504548E-08	54287
9.516166E-08	54587
9.520846E-08	54887
9.545837E-08	55187
9.535347E-08	55487
9.536463E-08	55787
9.546274E-08	56087
9.525471E-08	56387
9.525490E-08	56687
9.528709E-08	56987
9.533944E-08	57287
9.512784E-08	57587
9.513976E-08	57887
9.538110E-08	58187
9.545454E-08	58487
1.032867E-07	58787
1.365563E-07	59087
1.368821E-07	59387
1.367865E-07	59687
1.367166E-07	59987
1.371464E-07	60287
1.367873E-07	60587
1.366937E-07	60887
1.373872E-07	61188
1.367894E-07	61488
1.367511E-07	61788
1.373757E-07	62088
1.370345E-07	62388
1.350249E-07	62695
1.367279E-07	62996
1.366052E-07	63296
1.367713E-07	63596
1.371661E-07	63896
1.369037E-07	64196
1.370952E-07	64496
1.370372E-07	64796
1.368405E-07	65096
1.368134E-07	65396
1.369296E-07	65696
1.369761E-07	65996
1.366931E-07	66296
1.369889E-07	66596
1.368988E-07	66896
1.371831E-07	67196
1.366306E-07	67496
1.365851E-07	67796
1.369129E-07	68096
1.368492E-07	68396
1.374753E-07	68697
1.718733E-07	68997
1.770890E-07	69297
1.772180E-07	69597
1.775044E-07	69897
1.776322E-07	70197
1.776733E-07	70497
1.771346E-07	70797
1.772832E-07	71097
1.778868E-07	71397
1.774689E-07	71697
1.772883E-07	71997
1.770307E-07	72297
1.774968E-07	72597
1.772855E-07	72897
1.773961E-07	73197
1.771301E-07	73497
1.770970E-07	73797
1.770830E-07	74097
1.771291E-07	74397
1.767826E-07	74697
1.771753E-07	74997
1.772208E-07	75297
1.771156E-07	75597
1.764740E-07	75897
1.767143E-07	76197
1.770841E-07	76499
1.768970E-07	76799
1.771928E-07	77099
1.773946E-07	77399
1.770591E-07	77699
1.771462E-07	77999
1.770697E-07	78299
1.771900E-07	78599
2.038246E-07	78899
2.267789E-07	79199
2.265240E-07	79499
2.264537E-07	79799
2.267475E-07	80099
2.266498E-07	80399
2.266312E-07	80699
2.263970E-07	80999
2.267742E-07	81299
2.265941E-07	81599
2.264378E-07	81899
2.266063E-07	82199
2.267969E-07	82499
2.266823E-07	82799
