S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
1.241238E-07	85736
1.188587E-07	86036
1.235740E-07	86336
1.246635E-07	86636
1.231152E-07	86936
1.263264E-07	87236
1.225622E-07	87536
1.248118E-07	87836
1.241137E-07	88136
1.242959E-07	88436
1.196445E-07	88736
1.209802E-07	89036
1.240631E-07	89336
1.299557E-07	89636
1.755745E-07	89936
1.747887E-07	90236
1.712066E-07	90536
1.786777E-07	90836
1.754903E-07	91136
1.752812E-07	91437
1.751868E-07	91737
1.730584E-07	92037
1.776725E-07	92337
1.749673E-07	92637
1.691930E-07	92937
1.695032E-07	93243
1.763604E-07	93543
1.784754E-07	93843
1.742759E-07	94143
1.745222E-07	94443
1.757770E-07	94743
1.716653E-07	95043
1.767752E-07	95343
1.738206E-07	95643
1.729167E-07	95943
1.779390E-07	96243
1.706230E-07	96543
1.769002E-07	96843
1.745391E-07	97143
1.723669E-07	97443
1.770923E-07	97743
1.741681E-07	98043
1.746572E-07	98343
1.712301E-07	98643
1.750686E-07	98943
1.798986E-07	99244
1.753283E-07	99544
2.157158E-07	99844
2.267082E-07	100144
2.230284E-07	100444
2.245597E-07	100744
2.243034E-07	101044
2.267115E-07	101344
2.238143E-07	101644
2.208427E-07	101944
2.240974E-07	102244
2.233588E-07	102544
2.229813E-07	102844
2.285937E-07	103144
2.210652E-07	103444
2.220132E-07	103744
2.224618E-07	104044
2.220671E-07	104344
2.225662E-07	104644
2.191090E-07	104944
2.185761E-07	105244
2.238480E-07	105544
2.216690E-07	105844
2.207953E-07	106144
2.197331E-07	106446
2.221816E-07	106746
2.227417E-07	107046
2.195442E-07	107346
2.208461E-07	107646
2.226573E-07	107946
2.213758E-07	108246
2.202591E-07	108546
2.213857E-07	108846
2.198141E-07	109146
2.187515E-07	109446
2.521639E-07	109746
2.746409E-07	110046
2.764660E-07	110346
2.728699E-07	110646
2.769009E-07	110946
2.750118E-07	111246
2.773562E-07	111546
2.758012E-07	111846
2.770089E-07	112146
2.720776E-07	112446
2.766140E-07	112746
2.797208E-07	113046
2.779973E-07	113346
2.748907E-07	113646
2.751502E-07	113947
2.736024E-07	114247
2.775284E-07	114547
2.779058E-07	114847
2.721552E-07	115147
2.763208E-07	115447
2.784255E-07	115747
2.753558E-07	116047
2.779466E-07	116347
2.756260E-07	116647
2.707082E-07	116947
2.740169E-07	117247
2.763645E-07	117547
2.772786E-07	117847
2.756597E-07	118147
2.746916E-07	118447
2.746342E-07	118747
2.737268E-07	119047
2.718583E-07	119347
2.819232E-07	119647
3.258286E-07	119947
3.233932E-07	120247
3.243210E-07	120547
3.256434E-07	120847
3.221322E-07	121150
3.245807E-07	121450
3.247224E-07	121750
3.230597E-07	122050
3.248876E-07	122350
3.184051E-07	122650
3.298457E-07	122957
3.249345E-07	123257
3.217070E-07	123557
3.288947E-07	123857
3.249316E-07	124157
3.234270E-07	124457
3.205873E-07	124757
3.245670E-07	125057
3.207929E-07	125357
3.246077E-07	125657
3.255756E-07	125957
3.231173E-07	126257
3.188062E-07	126557
3.236501E-07	126857
3.222468E-07	127157
3.230765E-07	127457
3.192312E-07	127757
3.252657E-07	128057
3.207797E-07	128359
3.192279E-07	128659
3.203746E-07	128959
3.239099E-07	129259
3.254207E-07	129559
3.657675E-07	129859
3.706585E-07	130159
3.706787E-07	130459
3.726516E-07	130759
3.718762E-07	131059
3.715218E-07	131359
3.676971E-07	131659
3.741024E-07	131959
3.733938E-07	132259
3.732995E-07	132559
3.716367E-07	132859
3.747564E-07	133159
3.723683E-07	133459
3.717072E-07	133759
3.694445E-07	134059
3.696229E-07	134359
3.709957E-07	134659
3.720650E-07	134959
3.709990E-07	135259
3.704829E-07	135559
3.688879E-07	135860
3.729722E-07	136160
3.750162E-07	136460
3.717647E-07	136760
3.706719E-07	137060
3.745303E-07	137360
3.689888E-07	137660
3.687996E-07	137960
3.717040E-07	138260
3.717851E-07	138560
3.702436E-07	138860
3.752825E-07	139160
3.709553E-07	139460
4.033420E-07	139760
4.245169E-07	140060
4.241160E-07	140360
4.233536E-07	140660
4.268279E-07	140960
4.196705E-07	141260
4.259913E-07	141560
4.243756E-07	141860
4.284537E-07	142160
4.225543E-07	142460
4.252594E-07	142760
4.255996E-07	143061
4.228276E-07	143361
4.235056E-07	143661
4.291349E-07	143961
4.224298E-07	144261
4.240321E-07	144561
4.199911E-07	144861
4.220654E-07	145161
4.183618E-07	145461
4.243117E-07	145761
4.202948E-07	146061
