S121C	2025-05-22 17:14:31
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
1.732511E-07	146
1.761679E-07	446
1.765833E-07	746
1.746131E-07	1046
1.743258E-07	1346
1.744413E-07	1646
1.750369E-07	1946
1.748800E-07	2246
1.758174E-07	2546
1.765622E-07	2846
1.763386E-07	3146
1.765434E-07	3446
1.772313E-07	3746
1.769094E-07	4046
1.771641E-07	4346
1.769111E-07	4646
1.772752E-07	4946
1.765119E-07	5246
1.781387E-07	5546
1.793083E-07	5846
1.784751E-07	6146
1.788298E-07	6446
1.787118E-07	6746
1.790758E-07	7047
1.761336E-07	7347
1.759764E-07	7647
1.762613E-07	7947
1.765082E-07	8247
1.759421E-07	8547
1.762548E-07	8847
1.761302E-07	9147
1.754272E-07	9447
1.739667E-07	9747
1.742156E-07	10047
1.742393E-07	10347
1.744310E-07	10647
1.746823E-07	10947
1.751749E-07	11247
1.754304E-07	11547
1.763382E-07	11847
1.761053E-07	12147
1.768496E-07	12447
1.766165E-07	12747
1.765512E-07	13047
1.765591E-07	13347
1.770423E-07	13647
1.771028E-07	13947
1.781019E-07	14247
1.780215E-07	14547
1.790581E-07	14849
1.773405E-07	15149
1.763574E-07	15449
1.763916E-07	15749
1.756106E-07	16049
1.758359E-07	16349
1.759374E-07	16649
1.759504E-07	16949
1.759978E-07	17249
1.756131E-07	17549
1.758328E-07	17849
1.744489E-07	18149
1.735328E-07	18449
1.739304E-07	18749
1.735850E-07	19049
1.738635E-07	19349
1.744451E-07	19649
1.750180E-07	19949
1.753881E-07	20249
1.758806E-07	20549
1.762595E-07	20849
1.763086E-07	21149
1.763553E-07	21449
1.761739E-07	21749
1.764543E-07	22049
1.761001E-07	22349
1.770648E-07	22650
1.780709E-07	22950
1.777217E-07	23250
1.772733E-07	23550
1.770498E-07	23850
1.762777E-07	24150
1.758269E-07	24450
2.384895E-08	24750
-8.215118E-10	25050
-7.049615E-10	25350
-6.632704E-10	25650
-8.847298E-10	25950
-1.064162E-09	26250
-2.096993E-09	26550
-3.106255E-09	26850
-2.651360E-09	27150
-3.190320E-09	27450
-2.505065E-09	27750
-2.293861E-09	28050
-2.070352E-09	28350
-1.162592E-09	28650
-2.927898E-10	28950
-3.447305E-10	29250
2.407084E-10	29550
-3.218693E-09	29851
5.469546E-10	30152
1.348394E-09	30452
1.656682E-09	30752
1.314227E-09	31052
3.071618E-09	31358
-1.977030E-09	31659
-3.004417E-09	31959
-2.949031E-09	32259
-2.668778E-09	32559
-2.132193E-09	32859
-9.766717E-10	33159
-9.233500E-10	33459
-4.376974E-10	33759
-6.020878E-10	34059
-4.910038E-10	34359
-6.366163E-10	34659
-3.136405E-10	34959
-7.640851E-10	35259
4.437328E-10	35559
1.410607E-09	35859
1.255097E-09	36159
1.175809E-09	36459
1.254743E-09	36759
6.515252E-10	37059
5.613049E-10	37360
-1.171137E-09	37660
-1.032031E-09	37960
-1.141064E-09	38260
-1.209427E-09	38560
-1.331430E-09	38860
-1.113036E-09	39160
-1.201548E-09	39460
-2.956571E-09	39760
-3.494510E-09	40060
-3.058743E-09	40360
-3.293884E-09	40660
-2.872479E-09	40960
-2.180061E-09	41260
-1.767190E-09	41560
-1.182411E-09	41860
-8.966980E-10	42160
-5.402248E-10	42460
-9.937490E-10	42760
-7.613570E-10	43060
-8.645684E-10	43360
-6.594972E-10	43660
-4.076300E-10	43960
1.390785E-09	44260
1.636517E-09	44560
2.188816E-09	44862
2.796784E-10	45162
-3.095496E-10	45461
-9.592381E-10	45761
-1.507443E-09	46061
-1.497522E-09	46361
-1.339296E-09	46661
-1.655772E-09	46961
-1.584678E-09	47261
-1.475662E-09	47561
-1.916865E-09	47861
-3.375572E-09	48161
-3.117533E-09	48461
-3.074806E-09	48761
-3.052596E-09	49061
-2.937763E-09	49361
-1.963036E-09	49661
-1.466776E-09	49961
-9.691602E-10	50261
-8.984266E-10	50561
-4.500088E-10	50861
-7.504049E-10	51161
-6.154334E-10	51461
-1.076464E-09	51761
-2.764826E-09	52062
1.277660E-09	52363
1.132049E-09	52663
1.185377E-09	52963
8.627445E-10	53263
3.818595E-10	53563
-8.767874E-12	53862
-5.409034E-10	54162
-1.076133E-09	54462
-1.256932E-09	54762
-1.373476E-09	55062
-1.398754E-09	55362
-1.223437E-09	55662
-1.360145E-09	55962
-1.098697E-09	56262
-1.720023E-09	56562
-3.220747E-09	56862
-3.327025E-09	57162
-2.778491E-09	57462
-3.153070E-09	57762
-2.707398E-09	58062
-2.093571E-09	58362
-2.082319E-09	58662
-1.323912E-09	58962
-6.731768E-10	59262
-5.579985E-10	59563
-2.237396E-10	59863
-6.666977E-10	60163
-9.247242E-10	60463
-2.541723E-10	60763
1.157968E-08	61070
-1.151659E-09	61371
-1.009827E-09	61671
-1.077153E-09	61971
-1.857411E-09	62271
-3.187590E-09	62571
-2.820518E-09	62871
-4.782300E-09	63171
-3.053610E-09	63471
1.115384E-10	63771
-2.952803E-09	64071
-2.481837E-09	64371
-2.001639E-10	64671
2.031286E-10	64971
2.827503E-10	65271
5.746212E-10	65571
-3.758346E-10	65871
-6.013915E-10	66171
1.015861E-09	66471
1.524065E-09	66771
2.501876E-09	67072
8.524828E-10	67372
3.261592E-10	67672
5.786947E-11	67972
-9.195980E-10	68272
-6.536965E-10	68572
-1.044337E-09	68872
-8.030375E-10	69172
-5.040018E-10	69472
-7.989396E-10	69772
-2.558395E-09	70072
-3.264496E-09	70372
-3.102499E-09	70672
-2.534812E-09	70972
-2.582660E-09	71272
-1.500954E-09	71572
-8.129698E-10	71872
-4.400770E-10	72172
-2.790331E-11	72472
5.001702E-11	72772
-6.038020E-10	73072
-1.246316E-10	73372
-2.428900E-10	73672
4.829635E-11	73972
2.039472E-09	74273
1.852860E-09	74573
2.368248E-09	74873
2.435922E-09	75173
1.521340E-09	75473
9.690336E-10	75773
5.947979E-10	76073
-1.868731E-11	76373
1.067410E-10	76673
3.976938E-11	76973
4.751603E-10	77273
4.557709E-11	77573
2.940208E-10	77873
-2.418653E-10	78173
-1.174558E-09	78473
-2.141773E-09	78773
-1.428162E-09	79073
