Dist 1,Dist 2
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
4.166666667,4.166666667
