section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432302192983,1.588821,2.012253,0.364304,0.027832,-0.51709,0.808594,1.986783722813852,-31.041822505334277,-19.1316909851939,0.9492213726043701,-0.2610536217689514,0.06093426048755646,-0.16467143595218658
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432310185983,1.403809,2.258301,0.91362,0.036133,-0.523438,0.820312,1.9750124284255994,-31.036408046593444,-19.14465356130413,0.9492216110229492,-0.2610187232494354,0.06085893139243126,-0.16475333273410797
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432318178983,1.405716,2.80571,1.096725,0.036621,-0.512695,0.82373,1.9694382168421234,-31.030621525913332,-19.152273356923338,0.9492270946502686,-0.2609746754169464,0.0608222521841526,-0.16480518877506256
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432328855983,1.468658,3.234863,1.401901,0.031738,-0.523926,0.84668,1.9703465442300496,-31.0241055254385,-19.15708670853121,0.9492347836494446,-0.2609167695045471,0.06083187460899353,-0.1648487001657486
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432339532983,2.443314,3.477097,2.195358,0.030273,-0.529297,0.858887,1.9760196492108453,-31.01365437528158,-19.156415059554817,0.9492570757865906,-0.26082223653793335,0.06086313724517822,-0.1648586392402649
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432350209983,3.236771,4.026413,2.622604,0.04541,-0.511719,0.888184,1.9853109051320936,-30.985878418977286,-19.151620968574726,0.9493235349655151,-0.26058095693588257,0.060891445726156235,-0.16484683752059937
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432358197983,5.495071,4.331589,3.477097,0.038574,-0.515137,0.910156,1.9997058939499264,-30.944805919323056,-19.142880207561603,0.9494238495826721,-0.26022404432296753,0.06093505024909973,-0.16481715440750122
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432366185983,7.694244,4.577637,3.965378,0.044922,-0.520508,0.90332,2.0222674578756865,-30.88255892447153,-19.125231658262265,0.9495814442634583,-0.25968438386917114,0.060997456312179565,-0.16473707556724548
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432374173983,9.157181,5.556107,4.575729,0.039062,-0.521973,0.921875,2.0494967959756827,-30.79954987082174,-19.103143023297,0.9497906565666199,-0.25896793603897095,0.0610605850815773,-0.16463537514209747
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432382161983,10.622025,6.58989,5.308151,0.037598,-0.505371,0.90918,2.091269648184182,-30.702577412061096,-19.072163316668824,0.9500365853309631,-0.25811925530433655,0.061205703765153885,-0.16449549794197083
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432392851983,11.415482,6.772995,5.613327,0.026367,-0.504883,0.895996,2.1440900896171358,-30.5952020054439,-19.035499670715094,0.9503078460693359,-0.25717124342918396,0.06141620874404907,-0.1643347442150116
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432403541983,12.023926,7.507324,6.040573,0.040527,-0.500488,0.88623,2.19526428445705,-30.4838184348323,-19.00066087444467,0.9505857229232788,-0.2561911344528198,0.06161252409219742,-0.16418521106243134
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432414231983,12.086868,7.566452,5.796432,0.027344,-0.508301,0.867187,2.2599094865063503,-30.372388536820306,-18.95843056725389,0.9508659839630127,-0.2551952004432678,0.061904847621917725,-0.1640031486749649
