S130VC	2025-02-18 16:58:52
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
8.059028E-04	232
7.981661E-04	532
7.979780E-04	832
7.999706E-04	1132
7.980345E-04	1432
7.985611E-04	1732
7.977450E-04	2032
7.962843E-04	2332
7.977481E-04	2632
7.970262E-04	2932
7.983175E-04	3232
7.987345E-04	3532
7.987041E-04	3832
7.966373E-04	4132
7.953504E-04	4432
7.967754E-04	4732
7.981252E-04	5032
7.987821E-04	5332
7.984455E-04	5632
7.994298E-04	5932
7.987256E-04	6232
7.993954E-04	6532
8.001307E-04	6832
7.981198E-04	7132
7.999202E-04	7432
7.987428E-04	7732
8.001498E-04	8032
8.004008E-04	8332
8.011602E-04	8632
8.010948E-04	8932
8.005919E-04	9232
8.019809E-04	9532
8.008691E-04	9832
8.033716E-04	10132
8.025857E-04	10432
8.015916E-04	10732
8.030958E-04	11032
8.022324E-04	11332
8.042961E-04	11632
8.019904E-04	11932
8.021791E-04	12232
3.610554E-04	12532
2.286824E-10	14267
2.244611E-10	14567
2.315606E-10	14867
2.215459E-10	15167
2.120275E-10	15467
2.228885E-10	15767
2.143264E-10	16067
2.141610E-10	16369
2.130573E-10	16669
2.138115E-10	16969
2.103538E-10	17269
1.255878E-05	18072
1.206145E-05	18372
1.247761E-05	18672
1.217011E-05	18972
1.251288E-05	19272
1.202232E-05	19572
1.225239E-05	19872
1.235500E-05	20172
1.195700E-05	20472
1.270823E-05	20772
1.178373E-05	21072
1.241053E-05	21372
1.252313E-05	21672
1.163155E-05	21972
1.268541E-05	22272
2.780352E-05	22572
3.643113E-05	22872
3.696973E-05	23172
3.510462E-05	23472
3.663088E-05	23772
3.650150E-05	24072
3.548148E-05	24374
3.604057E-05	24674
3.583009E-05	24974
3.624451E-05	25274
3.569659E-05	25574
3.592004E-05	25874
3.606169E-05	26174
3.560129E-05	26474
3.598622E-05	26774
3.541550E-05	27074
3.665399E-05	27374
6.439900E-05	27674
6.442099E-05	27974
6.368029E-05	28274
6.465300E-05	28574
6.450361E-05	28874
6.422792E-05	29174
6.449036E-05	29474
6.401378E-05	29774
6.436031E-05	30074
6.412222E-05	30374
6.365054E-05	30674
6.387627E-05	30974
6.461082E-05	31274
6.290364E-05	31574
6.421751E-05	31874
6.384106E-05	32178
7.480029E-05	32479
9.291451E-05	32778
9.460639E-05	33079
9.434065E-05	33378
9.305983E-05	33693
9.444143E-05	33995
9.350538E-05	34295
9.489949E-05	34595
9.289126E-05	34895
9.442659E-05	35195
9.334486E-05	35495
9.438609E-05	35795
9.429832E-05	36095
9.318516E-05	36395
9.425522E-05	36695
9.406025E-05	36995
9.346080E-05	37295
1.167270E-04	37595
1.227428E-04	37895
1.245261E-04	38195
1.245281E-04	38495
1.231696E-04	38795
1.241475E-04	39095
1.241170E-04	39395
1.230815E-04	39695
1.235827E-04	39998
1.242874E-04	40298
1.241457E-04	40598
1.229181E-04	40898
1.242362E-04	41198
1.228047E-04	41498
1.252288E-04	41798
1.241134E-04	42098
1.266371E-04	42398
1.560908E-04	42698
1.567734E-04	42998
1.560748E-04	43298
1.567920E-04	43598
1.559231E-04	43898
1.581728E-04	44198
1.560433E-04	44498
1.562471E-04	44798
1.560707E-04	45098
1.576488E-04	45398
1.563510E-04	45698
1.561524E-04	45998
1.561097E-04	46298
1.567565E-04	46598
1.563327E-04	46898
1.554982E-04	47198
1.695553E-04	47500
1.902151E-04	47800
1.889744E-04	48100
1.874723E-04	48400
1.886769E-04	48700
1.883892E-04	49000
1.899810E-04	49300
1.883080E-04	49600
1.877486E-04	49900
1.898888E-04	50200
1.873343E-04	50500
1.886565E-04	50800
1.875642E-04	51100
1.891303E-04	51400
1.890865E-04	51700
1.872576E-04	52000
1.887056E-04	52300
2.139463E-04	52600
2.196601E-04	52900
2.201609E-04	53200
2.193932E-04	53500
2.214767E-04	53800
2.209574E-04	54100
2.200218E-04	54400
2.204645E-04	54700
2.214091E-04	55000
2.208847E-04	55302
2.205862E-04	55602
2.208826E-04	55902
2.211049E-04	56202
2.225531E-04	56502
2.213640E-04	56802
2.213624E-04	57102
2.268514E-04	57402
2.544808E-04	57702
2.530536E-04	58002
2.547029E-04	58302
2.543845E-04	58602
2.555041E-04	58902
2.548980E-04	59202
2.540106E-04	59502
2.567720E-04	59802
2.549376E-04	60102
2.543000E-04	60402
2.548385E-04	60702
2.548386E-04	61002
2.548714E-04	61302
2.541302E-04	61602
2.537509E-04	61913
2.563666E-04	62202
2.690376E-04	62502
2.863648E-04	62805
2.838969E-04	63105
2.861883E-04	63405
2.874007E-04	63705
2.846587E-04	64005
2.866664E-04	64305
2.873485E-04	64617
2.863439E-04	64917
2.871194E-04	65217
2.840638E-04	65517
2.861367E-04	65817
2.855950E-04	66117
2.866317E-04	66417
2.850853E-04	66717
2.850445E-04	67017
2.861530E-04	67317
3.138160E-04	67617
3.174424E-04	67917
3.184206E-04	68217
3.187438E-04	68517
3.199802E-04	68817
3.181735E-04	69117
3.184995E-04	69417
3.198065E-04	69717
3.189915E-04	70017
3.194290E-04	70317
3.173018E-04	70619
3.193690E-04	70919
3.190050E-04	71219
3.193236E-04	71519
3.182029E-04	71819
3.187206E-04	72119
3.255874E-04	72419
3.517023E-04	72719
3.525582E-04	73019
3.529474E-04	73319
3.529880E-04	73619
3.517485E-04	73919
3.511977E-04	74219
3.525950E-04	74519
3.535326E-04	74819
3.505519E-04	75119
3.521568E-04	75419
3.527417E-04	75719
3.530471E-04	76019
3.521429E-04	76319
3.512386E-04	76619
3.534752E-04	76919
3.538459E-04	77219
3.670403E-04	77519
3.846477E-04	77819
3.852571E-04	78119
3.839157E-04	78422
3.859997E-04	78722
3.841808E-04	79022
3.843574E-04	79322
3.880323E-04	79622
3.849357E-04	79922
3.850589E-04	80222
3.870248E-04	80522
3.853590E-04	80822
3.867693E-04	81122
3.849682E-04	81422
3.848168E-04	81722
3.884484E-04	82022
3.849200E-04	82322
4.121332E-04	82622
4.201979E-04	82922
4.183509E-04	83222
4.181410E-04	83522
4.181337E-04	83822
4.183771E-04	84122
4.218053E-04	84422
4.186480E-04	84722
4.186458E-04	85022
4.205008E-04	85322
4.186379E-04	85622
4.198119E-04	85924
