S130VC	2025-02-18 16:44:22
value unit [W]	time unit [ms]
wavelength	524.000nm
range	AUTO
5.223142E-06	267
5.208305E-06	567
5.204993E-06	867
5.212176E-06	1167
5.204173E-06	1467
5.203401E-06	1767
5.212677E-06	2067
5.205949E-06	2367
5.213363E-06	2667
5.209294E-06	2967
5.199975E-06	3267
5.214956E-06	3567
5.203113E-06	3867
5.210007E-06	4167
5.215789E-06	4467
5.204061E-06	4767
5.215069E-06	5067
5.206455E-06	5367
5.209805E-06	5667
5.209601E-06	5967
5.204449E-06	6267
5.215438E-06	6567
5.199219E-06	6867
5.204929E-06	7170
5.223559E-06	7470
5.207219E-06	7770
5.198998E-06	8070
5.216922E-06	8370
5.192697E-06	8670
5.208659E-06	8970
5.223505E-06	9270
5.194286E-06	9570
5.222375E-06	9870
5.208929E-06	10170
5.190945E-06	10470
5.220984E-06	10770
5.195464E-06	11070
5.204140E-06	11370
5.225069E-06	11670
5.193986E-06	11970
5.224072E-06	12270
5.067222E-06	12570
1.025758E-10	14054
1.107907E-10	14354
1.013140E-10	14654
8.702716E-11	14954
9.623469E-11	15254
9.863756E-11	15554
1.000756E-10	15854
1.000385E-10	16156
1.080076E-10	16456
1.033504E-10	16756
1.060825E-10	17056
1.038143E-10	17356
3.025565E-07	17964
3.028467E-07	18264
3.033785E-07	18564
3.026117E-07	18864
3.029344E-07	19164
3.028000E-07	19464
3.027887E-07	19764
3.030940E-07	20064
3.024348E-07	20364
3.026655E-07	20664
3.032447E-07	20964
3.025038E-07	21264
3.027527E-07	21564
3.027328E-07	21864
3.025644E-07	22164
3.029474E-07	22464
5.512460E-07	22764
6.754232E-07	23064
6.764443E-07	23364
6.749905E-07	23664
6.758391E-07	23966
6.751472E-07	24266
6.754523E-07	24566
6.760856E-07	24866
6.748455E-07	25166
6.751088E-07	25466
6.762593E-07	25766
6.750849E-07	26066
6.754960E-07	26366
6.751088E-07	26666
6.753355E-07	26966
6.759528E-07	27266
1.066142E-06	28067
1.064868E-06	28367
1.042380E-06	28667
1.071313E-06	28967
1.057457E-06	29267
1.039792E-06	29567
1.066328E-06	29867
1.041042E-06	30167
1.059195E-06	30467
1.070570E-06	30767
1.037720E-06	31067
1.068028E-06	31367
1.065565E-06	31667
1.028551E-06	31967
1.075334E-06	32271
1.059152E-06	32571
1.438695E-06	32871
1.419796E-06	33171
1.447990E-06	33471
1.482970E-06	33786
1.417035E-06	34089
1.443492E-06	34389
1.415609E-06	34689
1.447749E-06	34989
1.414322E-06	35289
1.443209E-06	35589
1.442427E-06	35889
1.412746E-06	36189
1.449096E-06	36489
1.441833E-06	36789
1.410259E-06	37089
1.450254E-06	37389
1.563063E-06	37689
