S130VC	2025-02-18 15:58:25
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
9.218129E-04	150
9.298371E-04	450
9.271745E-04	750
9.279395E-04	1050
9.292091E-04	1350
9.277556E-04	1650
9.298212E-04	1950
9.280379E-04	2250
9.282228E-04	2550
9.295641E-04	2850
9.286304E-04	3150
9.290064E-04	3450
9.281503E-04	3750
9.290035E-04	4050
9.292343E-04	4350
9.282232E-04	4650
9.291958E-04	4950
9.283812E-04	5250
9.293695E-04	5550
9.284309E-04	5850
9.290555E-04	6150
9.296748E-04	6450
9.286305E-04	6750
9.318523E-04	7052
9.274482E-04	7352
9.320480E-04	7652
9.268722E-04	7952
9.300279E-04	8252
9.309295E-04	8552
9.285843E-04	8852
9.312945E-04	9152
9.290705E-04	9452
9.280266E-04	9752
9.305333E-04	10052
9.287074E-04	10352
9.302003E-04	10652
9.306122E-04	10952
9.290848E-04	11252
9.307091E-04	11552
9.296160E-04	11852
9.301146E-04	12152
9.304556E-04	12452
9.305200E-04	12752
9.302287E-04	13052
9.297214E-04	13352
9.303142E-04	13652
2.723202E-04	13952
2.337791E-09	15241
2.299486E-09	15541
1.535430E-05	16143
1.537685E-05	16443
1.535179E-05	16743
1.534314E-05	17043
1.531035E-05	17343
1.534634E-05	17643
3.487123E-05	17943
4.439829E-05	18243
4.440347E-05	18543
4.445007E-05	18843
4.444461E-05	19143
4.447119E-05	19443
7.995775E-05	20246
7.844021E-05	20546
7.881036E-05	20846
7.928535E-05	21146
7.833637E-05	21446
7.948962E-05	21746
1.149704E-04	22046
1.155000E-04	22346
1.163964E-04	22646
1.143216E-04	22946
1.158334E-04	23246
1.164705E-04	23546
1.261624E-04	23846
1.493875E-04	24148
1.521397E-04	24448
1.495210E-04	24748
1.519277E-04	25048
1.522706E-04	25348
1.493056E-04	25648
1.787361E-04	25948
1.888605E-04	26248
1.883472E-04	26548
1.895492E-04	26848
1.881705E-04	27148
1.903758E-04	27448
1.902987E-04	27748
2.263896E-04	28048
2.294572E-04	28348
2.262690E-04	28648
2.271023E-04	28948
2.270210E-04	29248
2.267114E-04	29548
2.426303E-04	29848
2.656005E-04	30148
2.649365E-04	30448
2.682397E-04	30748
2.646192E-04	31048
2.650263E-04	31348
2.657964E-04	31648
2.916487E-04	31952
3.050125E-04	32252
3.043166E-04	32552
3.042441E-04	32852
3.050269E-04	33152
3.089519E-04	33467
3.066644E-04	33769
3.395362E-04	34069
3.436420E-04	34369
3.392957E-04	34669
3.396338E-04	34969
3.407998E-04	35269
3.403459E-04	35569
3.563481E-04	35869
3.778941E-04	36169
3.780925E-04	36469
3.818995E-04	36769
3.771216E-04	37069
3.789972E-04	37369
3.794456E-04	37669
4.071787E-04	37969
4.184110E-04	38269
4.159428E-04	38569
4.175106E-04	38869
4.201742E-04	39169
4.158531E-04	39469
4.208786E-04	39771
4.572324E-04	40071
4.559570E-04	40371
4.574331E-04	40671
4.563113E-04	40971
4.554386E-04	41271
4.605265E-04	41571
4.719696E-04	41871
4.950101E-04	42171
4.963288E-04	42471
4.939840E-04	42771
4.963364E-04	43071
4.946438E-04	43371
4.945560E-04	43671
5.264725E-04	43971
5.314295E-04	44271
5.312072E-04	44571
5.342419E-04	44871
5.313391E-04	45171
5.330947E-04	45471
5.355107E-04	45771
5.700419E-04	46071
5.737316E-04	46371
5.708091E-04	46671
5.696064E-04	46971
5.737164E-04	47274
5.715635E-04	47574
5.900250E-04	47874
6.087285E-04	48174
6.115304E-04	48474
6.124569E-04	48774
6.112790E-04	49074
6.107196E-04	49374
6.110048E-04	49674
6.412074E-04	49974
6.512628E-04	50274
6.482247E-04	50574
6.518011E-04	50874
6.503293E-04	51174
6.511775E-04	51474
6.509615E-04	51774
6.898011E-04	52074
6.908000E-04	52374
6.899211E-04	52674
6.885873E-04	52974
6.916327E-04	53274
6.910176E-04	53574
7.089435E-04	53874
7.295266E-04	54174
7.313050E-04	54474
7.321821E-04	54774
7.323782E-04	55076
7.290548E-04	55376
7.311634E-04	55676
7.603315E-04	55976
7.673098E-04	56276
7.672958E-04	56576
7.693135E-04	56876
7.673543E-04	57176
7.700560E-04	57476
7.709788E-04	57776
8.080780E-04	58076
8.102322E-04	58376
8.072247E-04	58676
8.069409E-04	58976
8.092464E-04	59276
8.070805E-04	59576
8.264209E-04	59876
8.469869E-04	60176
8.461410E-04	60476
8.492841E-04	60776
8.461674E-04	61076
8.466432E-04	61376
8.497168E-04	61676
8.748333E-04	61976
8.901018E-04	62276
8.865282E-04	62578
8.877891E-04	62878
8.886299E-04	63178
8.881860E-04	63478
8.903961E-04	63778
9.302328E-04	64078
9.369354E-04	64391
9.290931E-04	64691
9.290074E-04	64991
9.283570E-04	65291
9.309463E-04	65591
9.466903E-04	65891
9.681589E-04	66191
9.712504E-04	66491
9.673498E-04	66791
9.711400E-04	67091
9.700556E-04	67391
9.666887E-04	67691
1.004459E-03	67991
1.008972E-03	68291
1.010880E-03	68591
1.012820E-03	68891
1.007657E-03	69191
1.012460E-03	69491
1.016704E-03	69791
1.051295E-03	70091
1.053149E-03	70394
1.052533E-03	70694
1.052968E-03	70994
1.053263E-03	71294
1.052078E-03	71594
1.073961E-03	71894
1.096300E-03	72194
1.094248E-03	72494
1.095810E-03	72794
1.094854E-03	73094
1.095763E-03	73394
1.096503E-03	73694
1.126854E-03	73994
1.136283E-03	74294
1.137208E-03	74594
1.134973E-03	74894
1.136147E-03	75194
1.134691E-03	75494
1.142186E-03	75794
1.178068E-03	76094
1.177792E-03	76394
1.178366E-03	76694
1.179472E-03	76994
1.176035E-03	77294
1.176658E-03	77594
1.197736E-03	77894
1.219691E-03	78196
1.222266E-03	78496
1.217329E-03	78796
1.223222E-03	79096
1.220044E-03	79396
1.220180E-03	79696
1.257882E-03	79996
1.260662E-03	80296
1.265754E-03	80596
1.263094E-03	80896
1.260162E-03	81196
1.264035E-03	81496
1.268318E-03	81796
1.306972E-03	82096
1.307786E-03	82396
1.303486E-03	82696
1.309369E-03	82996
1.305920E-03	83296
1.303074E-03	83596
1.324104E-03	83896
1.345091E-03	84196
1.347026E-03	84496
1.346062E-03	84796
1.343648E-03	85096
1.349656E-03	85396
1.346399E-03	85698
