S130VC	2025-03-26 15:28:09
value unit [W]	time unit [ms]
wavelength	524.000nm
range	AUTO
3.486397E-07	119
3.482068E-07	417
3.481528E-07	719
3.474083E-07	1017
3.470143E-07	1319
3.465196E-07	1617
3.473512E-07	1919
3.474227E-07	2217
3.473485E-07	2519
3.485682E-07	2817
3.463236E-07	3119
3.474296E-07	3417
3.458751E-07	3719
3.457278E-07	4017
3.457292E-07	4319
3.458930E-07	4617
3.455356E-07	4919
3.464401E-07	5217
3.464108E-07	5519
3.462689E-07	5817
3.459132E-07	6119
3.460280E-07	6417
3.452752E-07	6720
3.458008E-07	7019
3.452415E-07	7319
3.442017E-07	7620
3.440533E-07	7920
3.445028E-07	8220
3.446235E-07	8520
3.441352E-07	8820
3.439945E-07	9120
3.424864E-07	9420
3.423314E-07	9720
3.428951E-07	10020
3.437276E-07	10320
3.438276E-07	10620
3.432233E-07	10920
3.437338E-07	11220
3.439642E-07	11520
3.429412E-07	11820
3.432772E-07	12120
3.426346E-07	12420
3.424578E-07	12720
3.427744E-07	13020
3.428985E-07	13320
3.437436E-07	13620
3.434987E-07	13920
3.429049E-07	14220
3.437513E-07	14520
3.447864E-07	14822
3.433925E-07	15122
3.436759E-07	15422
3.437354E-07	15722
3.447903E-07	16022
3.441416E-07	16322
3.442612E-07	16622
2.125001E-07	16922
1.872510E-10	17501
1.815178E-10	17801
1.796115E-10	18101
1.782311E-10	18401
1.772526E-10	18701
1.758445E-10	19001
1.750230E-10	19301
1.745750E-10	19601
1.748337E-10	19901
1.737904E-10	20201
1.730241E-10	20501
1.736657E-10	20801
1.817301E-10	21101
4.405845E-10	21401
1.741457E-10	21701
1.735688E-10	22001
1.729133E-10	22301
1.731257E-10	22604
1.726271E-10	22904
1.713021E-10	23204
1.726409E-10	23504
1.718053E-10	23804
1.718884E-10	24104
1.717731E-10	24404
1.712192E-10	24704
1.712053E-10	25004
1.712468E-10	25304
1.710529E-10	25604
1.716901E-10	25904
1.707390E-10	26204
1.711637E-10	26504
1.712193E-10	26804
1.710160E-10	27104
1.712744E-10	27404
1.712606E-10	27704
1.718931E-10	28004
1.706143E-10	28304
1.717961E-10	28604
1.712098E-10	28904
1.706746E-10	29204
1.714175E-10	29504
1.709144E-10	29804
1.713068E-10	30104
1.702405E-10	30408
1.697835E-10	30708
1.705636E-10	31008
1.710068E-10	31308
1.704667E-10	31608
1.694927E-10	31924
1.698159E-10	32226
1.704343E-10	32526
1.704759E-10	32826
1.699174E-10	33126
1.704529E-10	33426
1.708683E-10	33726
1.711775E-10	34026
1.693449E-10	34326
1.695988E-10	34626
1.697510E-10	34926
1.689295E-10	35226
1.705451E-10	35526
1.694742E-10	35826
