Dist1,Dist2
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
3.03030303,3.03030303
