Stimuli
"s,1000,2,0,0.5,1,0"
"s,1000,2,0,0.5,0.9,0.1"
"s,1000,2,0,0.5,0.8,0.2"
"s,1000,2,0,0.5,0.7,0.3"
"s,1000,2,0,0.5,0.6,0.4"
"s,1000,2,0,0.5,0.5,0.5"
"s,1000,2,0,0.5,0.4,0.6"
"s,1000,2,0,0.5,0.3,0.7"
"s,1000,2,0,0.5,0.2,0.8"
"s,1000,2,0,0.5,0.1,0.9"
"s,1000,2,0,0.5,0,1"
"s,1000,10,0,0.5,1,0"
"s,1000,10,0,0.5,0.9,0.1"
"s,1000,10,0,0.5,0.8,0.2"
"s,1000,10,0,0.5,0.7,0.3"
"s,1000,10,0,0.5,0.6,0.4"
"s,1000,10,0,0.5,0.5,0.5"
"s,1000,10,0,0.5,0.4,0.6"
"s,1000,10,0,0.5,0.3,0.7"
"s,1000,10,0,0.5,0.2,0.8"
"s,1000,10,0,0.5,0.1,0.9"
"s,1000,10,0,0.5,0,1"
"s,1000,40,0,0.5,1,0"
"s,1000,40,0,0.5,0.9,0.1"
"s,1000,40,0,0.5,0.8,0.2"
"s,1000,40,0,0.5,0.7,0.3"
"s,1000,40,0,0.5,0.6,0.4"
"s,1000,40,0,0.5,0.5,0.5"
"s,1000,40,0,0.5,0.4,0.6"
"s,1000,40,0,0.5,0.3,0.7"
"s,1000,40,0,0.5,0.2,0.8"
"s,1000,40,0,0.5,0.1,0.9"
"s,1000,40,0,0.5,0,1"
