Dist 1,Dist 2
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
4.54,4.54
