Stimuli
"s,1000,74,200,0,0,1,1"
"s,1000,76,200,0,0,1,1"
"s,1000,78,200,0,0,1,1"
"s,1000,80,200,0,0,1,1"
"s,1000,82,200,0,0,1,1"
"s,1000,84,200,0,0,1,1"
"s,1000,86,200,0,0,1,1"
"s,1000,88,200,0,0,1,1"
"s,1000,90,200,0,0,1,1"
"s,1000,200,74,0,0,1,1"
"s,1000,200,76,0,0,1,1"
"s,1000,200,78,0,0,1,1"
"s,1000,200,80,0,0,1,1"
"s,1000,200,82,0,0,1,1"
"s,1000,200,84,0,0,1,1"
"s,1000,200,86,0,0,1,1"
"s,1000,200,88,0,0,1,1"
"s,1000,200,90,0,0,1,1"
"s,1000,200,200,0,0,1,1"
"s,1000,200,200,0,0,1,1"
"s,1000,200,200,0,0,1,1"
"s,1000,200,200,0,0,1,1"
