Stimuli
"s,300,76,200,0,0,1,1"
"s,300,78,200,0,0,1,1"
"s,300,80,200,0,0,1,1"
"s,300,82,200,0,0,1,1"
"s,300,84,200,0,0,1,1"
"s,300,86,200,0,0,1,1"
"s,300,88,200,0,0,1,1"
"s,300,90,200,0,0,1,1"
"s,300,92,200,0,0,1,1"
"s,300,200,76,0,0,1,1"
"s,300,200,78,0,0,1,1"
"s,300,200,80,0,0,1,1"
"s,300,200,82,0,0,1,1"
"s,300,200,84,0,0,1,1"
"s,300,200,86,0,0,1,1"
"s,300,200,88,0,0,1,1"
"s,300,200,90,0,0,1,1"
"s,300,200,92,0,0,1,1"
"s,300,200,200,0,0,1,1"
"s,300,200,200,0,0,1,1"
"s,300,200,200,0,0,1,1"
"s,300,200,200,0,0,1,1"
